"Designator","Mid X","Mid Y","Layer","Rotation"
"R26","134.112mm","-68.834mm","top","0.0"
"R27","133.096mm","-93.218mm","top","180.0"
"R21","137.414mm","-94.996mm","top","0.0"
"R18","140.208mm","-71.628mm","top","270.0"
"R17","130.048mm","-94.234mm","top","270.0"
"R16","140.208mm","-68.072mm","top","90.0"
"R15","130.048mm","-81.28mm","top","90.0"
"R14","130.048mm","-69.088mm","top","90.0"
"R13","130.048mm","-87.884mm","top","90.0"
"R12","140.208mm","-83.058mm","top","270.0"
"R11","140.208mm","-93.726mm","top","270.0"
"R8","140.208mm","-75.692mm","top","90.0"
"R7","130.048mm","-90.932mm","top","270.0"
"R6","138.176mm","-69.088mm","top","90.0"
"R5","130.048mm","-77.978mm","top","270.0"
"R3","130.048mm","-84.836mm","top","90.0"
"R2","140.208mm","-86.36mm","top","90.0"
"R1","140.208mm","-89.662mm","top","270.0"
"J1","127.516mm","-65.382mm","top","0.0"
"D8","137.16mm","-74.422mm","top","180.0"
"D7","133.096mm","-88.9mm","top","0.0"
"D6","137.16mm","-80.772mm","top","180.0"
"D5","133.096mm","-77.978mm","top","0.0"
"D4","133.096mm","-72.136mm","top","0.0"
"D3","133.096mm","-83.566mm","top","0.0"
"D2","137.16mm","-86.614mm","top","180.0"
"D1","137.16mm","-91.694mm","top","180.0"
